Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,
1.38,9.67,15.38,-4.94,-0.65,-0.78,18.21970636
1.58,9.53,15.4,-5.11,-2.22,4.68,18.17903463
1.62,9.59,15.92,-3.69,-5.78,2.56,18.65580071
1.73,9.56,15.86,-0.05,2.6,0.71,18.59908869
1.54,9.61,15.64,-1.77,2.19,-1.9,18.4210016
1.69,9.5,15.71,0.78,1.01,-1.79,18.43665371
1.24,9.5,15.49,-0.52,4.54,1.67,18.21339342
0.75,9.25,15.89,15.31,22.24,1.93,18.40155157
1.06,6.37,14.54,38.43,26.41,6.2,15.90949716
19.61,19.61,-16.28,68.14,250.13,250.13,32.15808763
8.97,-1.58,13.02,-74.58,-30.82,-58.42,15.88954688
6.54,2.76,9.52,17.46,-0.7,-24.31,11.87516737
